,Bidirectional,Nr_layers,Layer_size,Regularization,Dropout,Loss,Accuracy
0,False,1,16,0.0,0.0,0.3167157769203186,0.8097040057182312
1,False,1,16,0.0,0.2,0.3168391287326813,0.8089849352836609
2,False,1,16,0.0,0.4,0.3170222342014313,0.8094391226768494
3,False,1,16,0.0,0.6,0.31938862800598145,0.807698130607605
4,False,1,16,0.0001,0.0,0.3273738920688629,0.8113314509391785
5,False,1,16,0.0001,0.2,0.3314347863197327,0.8100067973136902
6,False,1,16,0.0001,0.4,0.33893921971321106,0.8097040057182312
7,False,1,16,0.0001,0.6,0.3553171753883362,0.8099310994148254
8,False,1,16,0.001,0.0,0.3431435823440552,0.8100824952125549
9,False,1,16,0.001,0.2,0.3531067669391632,0.8106502294540405
10,False,1,16,0.001,0.4,0.3654807209968567,0.8097040057182312
11,False,1,16,0.001,0.6,0.3873712420463562,0.8101581931114197
12,False,1,16,0.01,0.0,0.3868912756443024,0.8081144690513611
13,False,1,16,0.01,0.2,0.4361796081066132,0.8063734769821167
14,False,1,16,0.01,0.4,0.4812350571155548,0.8086064457893372
15,False,1,16,0.01,0.6,0.5341087579727173,0.8110286593437195
16,False,1,32,0.0,0.0,0.3167237639427185,0.8111422061920166
17,False,1,32,0.0,0.2,0.3169819712638855,0.8082280158996582
18,False,1,32,0.0,0.4,0.3166767954826355,0.8093255758285522
19,False,1,32,0.0,0.6,0.3173337280750275,0.8095148205757141
20,False,1,32,0.0001,0.0,0.32675355672836304,0.8076602816581726
21,False,1,32,0.0001,0.2,0.3297261297702789,0.8100067973136902
22,False,1,32,0.0001,0.4,0.33251309394836426,0.8092877268791199
23,False,1,32,0.0001,0.6,0.3409497737884521,0.8106502294540405
24,False,1,32,0.001,0.0,0.34578779339790344,0.810196042060852
25,False,1,32,0.001,0.2,0.3523204326629639,0.8105745315551758
26,False,1,32,0.001,0.4,0.3615042865276337,0.8099310994148254
27,False,1,32,0.001,0.6,0.3745264708995819,0.8082280158996582
28,False,1,32,0.01,0.0,0.398207038640976,0.8060706853866577
29,False,1,32,0.01,0.2,0.4250263273715973,0.8077738285064697
30,False,1,32,0.01,0.4,0.4553135633468628,0.8093255758285522
31,False,1,32,0.01,0.6,0.5017419457435608,0.8080009222030641
