,Bidirectional,Nr_layers,Layer_size,Regularization,Dropout,Loss,Accuracy
0,False,1,16,0.0,0.0,0.3990702629089356,0.7600250244140625
1,False,1,16,0.0,0.2,0.39908120036125183,0.7583576440811157
2,False,1,16,0.0,0.4,0.3986164629459381,0.7607753276824951
3,False,1,16,0.0,0.6,0.4009123146533966,0.7600666880607605
4,False,1,16,0.0001,0.0,0.4062896370887756,0.7605252265930176
5,False,1,16,0.0001,0.2,0.4133003354072571,0.7616923451423645
6,False,1,16,0.0001,0.4,0.4181303083896637,0.761942446231842
7,False,1,16,0.0001,0.6,0.4433435499668121,0.7594414353370667
8,False,1,16,0.001,0.0,0.4142221510410309,0.7568153142929077
9,False,1,16,0.001,0.2,0.4206252992153168,0.7603167891502379
10,False,1,16,0.001,0.4,0.4297524690628052,0.7621926069259644
11,False,1,16,0.001,0.6,0.4624037742614746,0.7573155760765076
12,False,1,16,0.01,0.0,0.43913084268569946,0.7608169913291931
13,False,1,16,0.01,0.2,0.4666444957256317,0.7597332000732422
14,False,1,16,0.01,0.4,0.499528706073761,0.7606502771377563
15,False,1,16,0.01,0.6,0.7124175429344177,0.724385142326355
16,False,1,32,0.0,0.0,0.3986783921718597,0.7624427080154419
17,False,1,32,0.0,0.2,0.39812901616096497,0.7625677585601807
18,False,1,32,0.0,0.4,0.3987454473972321,0.7577740550041199
19,False,1,32,0.0,0.6,0.39833250641822815,0.7620258331298828
20,False,1,32,0.0001,0.0,0.4071705639362335,0.7608587145805359
21,False,1,32,0.0001,0.2,0.40993282198905945,0.7604835629463196
22,False,1,32,0.0001,0.4,0.4140014946460724,0.7616090178489685
23,False,1,32,0.0001,0.6,0.41804370284080505,0.7616090178489685
24,False,1,32,0.001,0.0,0.4150849878787993,0.7586077451705933
25,False,1,32,0.001,0.2,0.41895541548728943,0.7614005804061891
26,False,1,32,0.001,0.4,0.4242480993270874,0.76027512550354
27,False,1,32,0.001,0.6,0.4418751001358032,0.758732795715332
28,False,1,32,0.01,0.0,0.43941876292228704,0.7621508836746216
29,False,1,32,0.01,0.2,0.4580279290676117,0.7584410309791565
30,False,1,32,0.01,0.4,0.4893972873687744,0.759774923324585
