,Bidirectional,Nr_layers,Layer_size,Regularization,Dropout,Loss,Accuracy
0,False,1,16,0.0,0.0,0.2031627744436264,0.8466683626174927
1,False,1,16,0.0,0.2,0.20351611077785486,0.8466683626174927
2,False,1,16,0.0,0.4,0.2030917108058929,0.8513849377632141
3,False,1,16,0.0,0.6,0.20462597906589508,0.863562285900116
4,False,1,16,0.0001,0.0,0.209586963057518,0.8517279624938965
5,False,1,16,0.0001,0.2,0.2133377492427826,0.8579024076461792
6,False,1,16,0.0001,0.4,0.2165247201919556,0.8569591045379639
7,False,1,16,0.0001,0.6,0.2342381775379181,0.8564445376396179
8,False,1,16,0.001,0.0,0.22180691361427307,0.854643702507019
9,False,1,16,0.001,0.2,0.2329927533864975,0.8466683626174927
10,False,1,16,0.001,0.4,0.2446580529212952,0.8559300303459167
11,False,1,16,0.001,0.6,0.2645358443260193,0.8613326549530029
12,False,1,16,0.01,0.0,0.2848091721534729,0.8524140119552612
13,False,1,16,0.01,0.2,0.2861612141132355,0.8537003397941589
14,False,1,16,0.01,0.4,0.3341977298259735,0.8592745065689087
15,False,1,16,0.01,0.6,0.38699671626091,0.8567018508911133
16,False,1,32,0.0,0.0,0.2026214748620987,0.8542149066925049
17,False,1,32,0.0,0.2,0.2025785148143769,0.8543006777763367
18,False,1,32,0.0,0.4,0.20289170742034912,0.8494983315467834
19,False,1,32,0.0,0.6,0.20284238457679749,0.8537861108779907
20,False,1,32,0.0001,0.0,0.2102072834968567,0.8519852757453918
21,False,1,32,0.0001,0.2,0.21130351722240448,0.8519852757453918
22,False,1,32,0.0001,0.4,0.21760642528533936,0.849755585193634
23,False,1,32,0.0001,0.6,0.22178755700588226,0.8528428077697754
24,False,1,32,0.001,0.0,0.22269074618816376,0.8579024076461792
25,False,1,32,0.001,0.2,0.22589349746704104,0.854643702507019
26,False,1,32,0.001,0.4,0.2344080358743668,0.8466683626174927
27,False,1,32,0.001,0.6,0.2479719668626785,0.8556727766990662
28,False,1,32,0.01,0.0,0.27334368228912354,0.8559300303459167
29,False,1,32,0.01,0.2,0.276743084192276,0.8524140119552612
30,False,1,32,0.01,0.4,0.3088363707065582,0.8560158014297485
31,False,1,32,0.01,0.6,0.3617971539497376,0.8537003397941589
32,False,1,64,0.0,0.0,0.20298761129379272,0.8466683626174927
33,False,1,64,0.0,0.2,0.20280858874320984,0.8537861108779907
34,False,1,64,0.0,0.4,0.20333760976791385,0.8466683626174927
35,False,1,64,0.0,0.6,0.202886700630188,0.8494983315467834
36,False,1,64,0.0001,0.0,0.22022610902786247,0.8479547500610352
37,False,1,64,0.0001,0.2,0.21319805085659027,0.8501843810081482
38,False,1,64,0.0001,0.4,0.21406129002571106,0.8579024076461792
39,False,1,64,0.0001,0.6,0.21765093505382532,0.8519852757453918
40,False,1,64,0.001,0.0,0.22052153944969172,0.854643702507019
41,False,1,64,0.001,0.2,0.2294990569353104,0.8511276841163635
42,False,1,64,0.001,0.4,0.22913126647472384,0.8488980531692505
43,False,1,64,0.001,0.6,0.2371871024370193,0.8524140119552612
44,False,1,64,0.01,0.0,0.2607234716415405,0.854643702507019
45,False,1,64,0.01,0.2,0.2806848883628845,0.8582454323768616
46,False,1,64,0.01,0.4,0.29617780447006226,0.8582454323768616
47,False,1,64,0.01,0.6,0.3628575801849365,0.8590172529220581
48,False,2,16,0.0,0.0,0.20376969873905185,0.8548151850700378
49,False,2,16,0.0,0.2,0.20313304662704468,0.8466683626174927
50,False,2,16,0.0,0.4,0.20248375833034515,0.8566160798072815
51,False,2,16,0.0,0.6,0.2042237967252732,0.8585026860237122
52,False,2,16,0.0001,0.0,0.2225478440523148,0.8466683626174927
53,False,2,16,0.0001,0.2,0.22521980106830605,0.8501843810081482
54,False,2,16,0.0001,0.4,0.24814680218696594,0.8494983315467834
55,False,2,16,0.0001,0.6,0.2705048620700836,0.8613326549530029
56,False,2,16,0.001,0.0,0.2264400869607925,0.8543863892555237
57,False,2,16,0.001,0.2,0.257347047328949,0.8518995046615601
58,False,2,16,0.001,0.4,0.287943571805954,0.8577309250831604
59,False,2,16,0.001,0.6,0.3619519174098969,0.8613326549530029
60,False,2,16,0.01,0.0,2.640228271484375,0.09527485072612762
61,False,2,16,0.01,0.2,2.6402580738067627,0.09527485072612762
62,False,2,16,0.01,0.4,2.6402390003204346,0.09527485072612762
63,False,2,16,0.01,0.6,2.6402175426483154,0.09527485072612762
64,False,2,32,0.0,0.0,0.20277680456638336,0.852499783039093
65,False,2,32,0.0,0.2,0.2024236470460892,0.8537861108779907
66,False,2,32,0.0,0.4,0.20318098366260529,0.8466683626174927
