,Bidirectional,Nr_layers,Layer_size,Regularization,Dropout,Loss,Accuracy
0,False,1,16,0.0,0.0,0.3999549448490143,0.7728567719459534
1,False,1,16,0.0,0.2,0.3995157480239868,0.7720925211906433
2,False,1,16,0.0,0.4,0.3996707499027252,0.7737946510314941
3,False,1,16,0.0,0.6,0.40333059430122375,0.7731346487998962
4,False,1,16,0.0001,0.0,0.4050595164299011,0.7739683389663696
5,False,1,16,0.0001,0.2,0.40859895944595337,0.7746283411979675
6,False,1,16,0.0001,0.4,0.415795624256134,0.7751146554946899
7,False,1,16,0.0001,0.6,0.4634080231189728,0.7737251520156859
8,False,1,16,0.001,0.0,0.4096856415271759,0.7733083367347717
9,False,1,16,0.001,0.2,0.41531869769096375,0.7724398970603943
10,False,1,16,0.001,0.4,0.4264057874679565,0.7735167145729065
11,False,1,16,0.001,0.6,0.44258296489715576,0.7719883322715759
12,False,1,16,0.01,0.0,0.4324551522731781,0.7743157148361206
13,False,1,16,0.01,0.2,0.4475046992301941,0.7728220224380493
14,False,1,16,0.01,0.4,0.4991028308868408,0.7735167145729065
15,False,1,16,0.01,0.6,0.6880646347999573,0.7330484986305237
16,False,1,32,0.0,0.0,0.3998231589794159,0.7733430862426758
17,False,1,32,0.0,0.2,0.3996254205703736,0.7729957103729248
18,False,1,32,0.0,0.4,0.3994227349758148,0.7737946510314941
19,False,1,32,0.0,0.6,0.3994489908218384,0.7741072773933411
20,False,1,32,0.0001,0.0,0.4048497378826141,0.7741767168045044
21,False,1,32,0.0001,0.2,0.4063253700733185,0.7740030288696289
22,False,1,32,0.0001,0.4,0.4087232947349548,0.7727177739143372
23,False,1,32,0.0001,0.6,0.4183024764060974,0.776469349861145
24,False,1,32,0.001,0.0,0.4089829027652741,0.7725093960762024
25,False,1,32,0.001,0.2,0.4127896726131439,0.7721272706985474
26,False,1,32,0.001,0.4,0.4163763225078583,0.7732040882110596
27,False,1,32,0.001,0.6,0.43129962682724,0.7729957103729248
28,False,1,32,0.01,0.0,0.4262365102767944,0.7714325189590454
29,False,1,32,0.01,0.2,0.4398742616176605,0.7717798948287964
30,False,1,32,0.01,0.4,0.4692249894142151,0.7726830840110779
31,False,1,32,0.01,0.6,0.4821000099182129,0.7725093960762024
32,False,1,64,0.0,0.0,0.39963263273239136,0.7741767168045044
33,False,1,64,0.0,0.2,0.3995080888271332,0.7733777761459351
34,False,1,64,0.0,0.4,0.3992975652217865,0.7747325301170349
35,False,1,64,0.0,0.6,0.3993443548679352,0.7732388377189636
36,False,1,64,0.0001,0.0,0.40442636609077454,0.7730998992919922
37,False,1,64,0.0001,0.2,0.4050750136375427,0.7733430862426758
38,False,1,64,0.0001,0.4,0.4060974717140198,0.7727177739143372
39,False,1,64,0.0001,0.6,0.4088060259819031,0.7729957103729248
40,False,1,64,0.001,0.0,0.4100710451602936,0.7739683389663696
41,False,1,64,0.001,0.2,0.41093170642852783,0.7712588310241699
42,False,1,64,0.001,0.4,0.4137408435344696,0.7724398970603943
43,False,1,64,0.001,0.6,0.4241464138031006,0.7735514640808105
44,False,1,64,0.01,0.0,0.43161603808403015,0.7731346487998962
45,False,1,64,0.01,0.2,0.4395305216312408,0.7717798948287964
46,False,1,64,0.01,0.4,0.4723752439022064,0.7744893431663513
47,False,1,64,0.01,0.6,0.4914290010929108,0.7717104554176331
48,False,2,16,0.0,0.0,0.3996894061565399,0.7731346487998962
49,False,2,16,0.0,0.2,0.3992718160152435,0.774419903755188
50,False,2,16,0.0,0.4,0.3993660509586334,0.7756009697914124
51,False,2,16,0.0,0.6,0.41906583309173584,0.7726830840110779
52,False,2,16,0.0001,0.0,0.4084651470184326,0.7729609608650208
53,False,2,16,0.0001,0.2,0.419510155916214,0.7725440859794617
