,Bidirectional,Nr_layers,Layer_size,Regularization,Dropout,Loss,Accuracy
0,False,1,16,0.0,0.0,0.42901453375816345,0.7369484901428223
1,False,1,16,0.0,0.2,0.42839059233665466,0.73702073097229
2,False,1,16,0.0,0.4,0.42838695645332336,0.7399812340736389
3,False,1,16,0.0,0.6,0.42879024147987366,0.7381038069725037
4,False,1,16,0.0001,0.0,0.4373677372932434,0.7374539971351624
5,False,1,16,0.0001,0.2,0.4392324388027191,0.7366597056388855
6,False,1,16,0.0001,0.4,0.44393986463546753,0.7401256561279297
7,False,1,16,0.0001,0.6,0.4504193365573883,0.7360098361968994
8,False,1,16,0.001,0.0,0.456848680973053,0.7375983595848083
9,False,1,16,0.001,0.2,0.46330565214157104,0.734854519367218
10,False,1,16,0.001,0.4,0.4698995053768158,0.7387536764144897
11,False,1,16,0.001,0.6,0.486027330160141,0.734926700592041
12,False,1,16,0.01,0.0,0.5079787969589233,0.7355043888092041
13,False,1,16,0.01,0.2,0.5282328128814697,0.7356488108634949
14,False,1,16,0.01,0.4,0.5608398914337158,0.7352877259254456
15,False,1,16,0.01,0.6,0.5924153327941895,0.7357931733131409
16,False,1,32,0.0,0.0,0.4291520416736603,0.7396923899650574
17,False,1,32,0.0,0.2,0.4290941059589386,0.7377427816390991
18,False,1,32,0.0,0.4,0.428472101688385,0.7395479679107666
19,False,1,32,0.0,0.6,0.42834675312042236,0.7397646307945251
20,False,1,32,0.0001,0.0,0.43847090005874634,0.7356488108634949
21,False,1,32,0.0001,0.2,0.4406874179840088,0.7362264394760132
22,False,1,32,0.0001,0.4,0.4410676062107086,0.7373817563056946
23,False,1,32,0.0001,0.6,0.4456007778644562,0.73702073097229
24,False,1,32,0.001,0.0,0.4521639049053192,0.7369484901428223
25,False,1,32,0.001,0.2,0.4581761360168457,0.7373817563056946
26,False,1,32,0.001,0.4,0.46857285499572754,0.737092912197113
27,False,1,32,0.001,0.6,0.4808170795440674,0.737092912197113
28,False,1,32,0.01,0.0,0.5060028433799744,0.7360098361968994
29,False,1,32,0.01,0.2,0.5200011730194092,0.7359375953674316
30,False,1,32,0.01,0.4,0.5563071370124817,0.7375261783599854
31,False,1,32,0.01,0.6,0.6026691794395447,0.7355043888092041
32,False,1,64,0.0,0.0,0.4290321469306946,0.7417864203453064
33,False,1,64,0.0,0.2,0.4284946918487549,0.7383926510810852
34,False,1,64,0.0,0.4,0.42871272563934326,0.7361542582511902
35,False,1,64,0.0,0.6,0.42818811535835266,0.7375261783599854
36,False,1,64,0.0001,0.0,0.4372920095920563,0.7356488108634949
37,False,1,64,0.0001,0.2,0.43803372979164124,0.7375261783599854
38,False,1,64,0.0001,0.4,0.44152918457984924,0.7371651530265808
39,False,1,64,0.0001,0.6,0.4452880322933197,0.7383204698562622
40,False,1,64,0.001,0.0,0.45559054613113403,0.7368763089179993
41,False,1,64,0.001,0.2,0.45658084750175476,0.7368041276931763
42,False,1,64,0.001,0.4,0.46605435013771057,0.7378872036933899
43,False,1,64,0.001,0.6,0.47591590881347656,0.738537073135376
44,False,1,64,0.01,0.0,0.5035786032676697,0.7361542582511902
45,False,1,64,0.01,0.2,0.5284623503684998,0.7351433038711548
46,False,1,64,0.01,0.4,0.5478266477584839,0.7356488108634949
47,False,1,64,0.01,0.6,0.5841634273529053,0.7355043888092041
48,False,2,16,0.0,0.0,0.42903879284858704,0.736370861530304
49,False,2,16,0.0,0.2,0.42842334508895874,0.7393313646316528
50,False,2,16,0.0,0.4,0.43034785985946655,0.7378150224685669
51,False,2,16,0.0,0.6,0.4693954586982727,0.726983904838562
52,False,2,16,0.0001,0.0,0.4404577612876892,0.7352877259254456
53,False,2,16,0.0001,0.2,0.4462713897228241,0.7404866814613342
54,False,2,16,0.0001,0.4,0.4601763188838959,0.7368041276931763
55,False,2,16,0.0001,0.6,0.4773969054222107,0.7360820174217224
56,False,2,16,0.001,0.0,0.475599467754364,0.7351433038711548
57,False,2,16,0.001,0.2,0.48505699634552,0.73702073097229
58,False,2,16,0.001,0.4,0.5068298578262329,0.7360820174217224
59,False,2,16,0.001,0.6,0.5763159990310669,0.7256119847297668
60,False,2,16,0.01,0.0,2.5033867359161377,0.15589573979377747
61,False,2,16,0.01,0.2,2.503399133682251,0.15589573979377747
62,False,2,16,0.01,0.4,2.503396511077881,0.15589573979377747
63,False,2,16,0.01,0.6,2.5034101009368896,0.15589573979377747
64,False,2,32,0.0,0.0,0.4289918839931488,0.7362986207008362
65,False,2,32,0.0,0.2,0.42822960019111633,0.7375983595848083
66,False,2,32,0.0,0.4,0.42802250385284424,0.7396202087402344
67,False,2,32,0.0,0.6,0.4282256066799164,0.7402700781822205
68,False,2,32,0.0001,0.0,0.4388878047466278,0.7367318868637085
69,False,2,32,0.0001,0.2,0.4438052177429199,0.7378150224685669
70,False,2,32,0.0001,0.4,0.4469718933105469,0.7375983595848083
71,False,2,32,0.0001,0.6,0.45932742953300476,0.73702073097229
72,False,2,32,0.001,0.0,0.4767244756221771,0.7360820174217224
73,False,2,32,0.001,0.2,0.4836522936820984,0.7362986207008362
74,False,2,32,0.001,0.4,0.5046093463897705,0.7373817563056946
75,False,2,32,0.001,0.6,0.5326760411262512,0.7352877259254456
76,False,2,32,0.01,0.0,2.5033860206604004,0.15589573979377747
77,False,2,32,0.01,0.2,2.503394365310669,0.15589573979377747
78,False,2,32,0.01,0.4,2.5033926963806152,0.15589573979377747
79,False,2,32,0.01,0.6,2.503408432006836,0.15589573979377747
80,False,2,64,0.0,0.0,0.4293666183948517,0.740631103515625
81,False,2,64,0.0,0.2,0.4289509654045105,0.7411365509033203
82,False,2,64,0.0,0.4,0.4285098612308502,0.7395479679107666
83,False,2,64,0.0,0.6,0.4301099479198456,0.7386814951896667
84,False,2,64,0.0001,0.0,0.4388396441936493,0.7368763089179993
85,False,2,64,0.0001,0.2,0.4426698088645935,0.7362264394760132
86,False,2,64,0.0001,0.4,0.44739046692848206,0.7376706004142761
87,False,2,64,0.0001,0.6,0.45557549595832825,0.7362264394760132
88,False,2,64,0.001,0.0,0.46878549456596375,0.7374539971351624
89,False,2,64,0.001,0.2,0.48012396693229675,0.7360098361968994
90,False,2,64,0.001,0.4,0.502704381942749,0.7365152835845947
91,False,2,64,0.001,0.6,0.5267527103424072,0.7357931733131409
92,False,2,64,0.01,0.0,2.5033843517303467,0.15589573979377747
93,False,2,64,0.01,0.2,2.503389596939087,0.15589573979377747
94,False,2,64,0.01,0.4,2.503394603729248,0.15589573979377747
95,False,2,64,0.01,0.6,2.5033977031707764,0.15589573979377747
96,True,1,16,0.0,0.0,0.4290533661842346,0.7365152835845947
97,True,1,16,0.0,0.2,0.42852088809013367,0.7419308423995972
98,True,1,16,0.0,0.4,0.428532212972641,0.738537073135376
99,True,1,16,0.0,0.6,0.42804646492004395,0.73702073097229
100,True,1,16,0.0001,0.0,0.4348776042461395,0.7380316257476807
101,True,1,16,0.0001,0.2,0.43464499711990356,0.7373095750808716
102,True,1,16,0.0001,0.4,0.43663203716278076,0.7357209920883179
103,True,1,16,0.0001,0.6,0.438357412815094,0.7386814951896667
104,True,1,16,0.001,0.0,0.44427764415740967,0.7378150224685669
105,True,1,16,0.001,0.2,0.44804567098617554,0.7352155447006226
106,True,1,16,0.001,0.4,0.45162805914878845,0.7365874648094177
107,True,1,16,0.001,0.6,0.4578689932823181,0.737092912197113
108,True,1,16,0.01,0.0,0.5048625469207764,0.7333381175994873
109,True,1,16,0.01,0.2,0.5358409881591797,0.734926700592041
110,True,1,16,0.01,0.4,0.5639715194702148,0.7357931733131409
111,True,1,16,0.01,0.6,0.6113467216491699,0.7357931733131409
112,True,1,32,0.0,0.0,0.4294391870498657,0.7387536764144897
113,True,1,32,0.0,0.2,0.4292623996734619,0.7366597056388855
