,Bidirectional,Nr_layers,Layer_size,Regularization,Dropout,Loss,Accuracy
0,False,1,16,0.0,0.0,0.2696548998355865,0.8058920502662659
1,False,1,16,0.0,0.2,0.26964125037193304,0.8033303022384644
2,False,1,16,0.0,0.4,0.26959943771362305,0.8032651543617249
3,False,1,16,0.0,0.6,0.2697124481201172,0.804198682308197
4,False,1,16,0.0001,0.0,0.27172690629959106,0.8031349182128906
5,False,1,16,0.0001,0.2,0.2741080224514008,0.8045677542686462
6,False,1,16,0.0001,0.4,0.2803175449371338,0.8045677542686462
7,False,1,16,0.0001,0.6,0.2944355309009552,0.8045677542686462
8,False,1,16,0.001,0.0,0.2800523638725281,0.8045677542686462
9,False,1,16,0.001,0.2,0.29140207171440125,0.8045677542686462
10,False,1,16,0.001,0.4,0.3002108335494995,0.8045677542686462
11,False,1,16,0.001,0.6,0.3071230351924896,0.8055012822151184
12,False,1,16,0.01,0.0,0.3004829585552216,0.8045677542686462
13,False,1,16,0.01,0.2,0.3609272539615631,0.8045677542686462
14,False,1,16,0.01,0.4,0.3800032734870911,0.8045677542686462
15,False,1,16,0.01,0.6,0.4195661246776581,0.8045677542686462
16,False,1,32,0.0,0.0,0.2696757018566132,0.8046329021453857
17,False,1,32,0.0,0.2,0.26967018842697144,0.8057183623313904
18,False,1,32,0.0,0.4,0.2696225643157959,0.8040684461593628
19,False,1,32,0.0,0.6,0.26960793137550354,0.8032651543617249
20,False,1,32,0.0001,0.0,0.2719666063785553,0.8042638301849365
21,False,1,32,0.0001,0.2,0.2731478214263916,0.8032217621803284
22,False,1,32,0.0001,0.4,0.2745802104473114,0.8046329021453857
23,False,1,32,0.0001,0.6,0.27859947085380554,0.8045677542686462
24,False,1,32,0.001,0.0,0.2798865735530853,0.8045677542686462
25,False,1,32,0.001,0.2,0.2849269509315491,0.8045677542686462
26,False,1,32,0.001,0.4,0.2909920513629913,0.8045677542686462
27,False,1,32,0.001,0.6,0.30631935596466064,0.8045677542686462
28,False,1,32,0.01,0.0,0.29530030488967896,0.8045677542686462
29,False,1,32,0.01,0.2,0.33882075548171997,0.8045677542686462
