,Bidirectional,Nr_layers,Layer_size,Regularization,Dropout,Loss,Accuracy
0,False,1,16,0.0,0.0,0.3042314946651459,0.7879725098609924
1,False,1,16,0.0,0.2,0.30400949716567993,0.7887285351753235
2,False,1,16,0.0,0.4,0.30461421608924866,0.7874226570129395
3,False,1,16,0.0,0.6,0.3073118031024933,0.7887285351753235
4,False,1,16,0.0001,0.0,0.31419944763183594,0.7887972593307495
5,False,1,16,0.0001,0.2,0.3212019205093384,0.7889347076416016
6,False,1,16,0.0001,0.4,0.3270876407623291,0.7872164845466614
7,False,1,16,0.0001,0.6,0.3402198553085327,0.7891408801078796
8,False,1,16,0.001,0.0,0.3367127478122711,0.789175271987915
9,False,1,16,0.001,0.2,0.3459504544734955,0.7874226570129395
10,False,1,16,0.001,0.4,0.3601198494434357,0.787938117980957
11,False,1,16,0.001,0.6,0.3760314583778381,0.7871821522712708
12,False,1,16,0.01,0.0,0.3815757930278778,0.7877319455146791
13,False,1,16,0.01,0.2,0.4122425019741057,0.7868384718894958
14,False,1,16,0.01,0.4,0.4689069986343384,0.7902061939239502
15,False,1,16,0.01,0.6,0.5202782154083252,0.7865979671478271
16,False,1,32,0.0,0.0,0.3040157556533813,0.7885223627090454
17,False,1,32,0.0,0.2,0.30407440662384033,0.7875257730484009
18,False,1,32,0.0,0.4,0.30458611249923706,0.7854639291763306
19,False,1,32,0.0,0.6,0.3040567934513092,0.7894845604896545
20,False,1,32,0.0001,0.0,0.31551194190979004,0.7881443500518799
21,False,1,32,0.0001,0.2,0.3170175850391388,0.7878693938255309
22,False,1,32,0.0001,0.4,0.32218727469444275,0.7873196005821228
23,False,1,32,0.0001,0.6,0.32861343026161194,0.7879037857055664
24,False,1,32,0.001,0.0,0.3336915671825409,0.7889690995216371
25,False,1,32,0.001,0.2,0.3395232558250427,0.7867010235786438
26,False,1,32,0.001,0.4,0.35007721185684204,0.7882130742073059
27,False,1,32,0.001,0.6,0.36643508076667786,0.7901718020439148
28,False,1,32,0.01,0.0,0.3813025653362274,0.7868728637695312
29,False,1,32,0.01,0.2,0.4106267988681793,0.7875601649284363
30,False,1,32,0.01,0.4,0.4548944532871246,0.789106547832489
31,False,1,32,0.01,0.6,0.5063270926475525,0.7875257730484009
32,False,1,64,0.0,0.0,0.3059116303920746,0.7846735119819641
33,False,1,64,0.0,0.2,0.3043253421783447,0.7877319455146791
34,False,1,64,0.0,0.4,0.303684264421463,0.7910996675491333
35,False,1,64,0.0,0.6,0.3036960661411285,0.789106547832489
36,False,1,64,0.0001,0.0,0.31443318724632263,0.7871134281158447
37,False,1,64,0.0001,0.2,0.31684064865112305,0.7885910868644714
38,False,1,64,0.0001,0.4,0.31988951563835144,0.7874570488929749
39,False,1,64,0.0001,0.6,0.325132429599762,0.7874226570129395
40,False,1,64,0.001,0.0,0.33291229605674744,0.7885223627090454
41,False,1,64,0.001,0.2,0.3372633755207062,0.7860824465751648
42,False,1,64,0.001,0.4,0.3445814251899719,0.7881443500518799
43,False,1,64,0.001,0.6,0.3513904809951782,0.7873883247375488
44,False,1,64,0.01,0.0,0.3771018385887146,0.7884192466735841
45,False,1,64,0.01,0.2,0.426239550113678,0.7875944972038269
46,False,1,64,0.01,0.4,0.4528622925281525,0.7848797440528871
47,False,1,64,0.01,0.6,0.492668628692627,0.7860824465751648
48,False,2,16,0.0,0.0,0.30578839778900146,0.7867010235786438
49,False,2,16,0.0,0.2,0.3041127920150757,0.785085916519165
50,False,2,16,0.0,0.4,0.3060601353645325,0.7858762741088867
51,False,2,16,0.0,0.6,0.31004831194877625,0.7888659834861755
52,False,2,16,0.0001,0.0,0.3151807487010956,0.7892096042633057
53,False,2,16,0.0001,0.2,0.3385825455188751,0.7864948511123657
54,False,2,16,0.0001,0.4,0.3566943109035492,0.7880069017410278
55,False,2,16,0.0001,0.6,0.391814649105072,0.7873539328575134
56,False,2,16,0.001,0.0,0.3443780243396759,0.7876976132392883
57,False,2,16,0.001,0.2,0.3727197647094727,0.7872852087020874
58,False,2,16,0.001,0.4,0.4115763604640961,0.787938117980957
59,False,2,16,0.001,0.6,0.5480736494064331,0.7305842041969299
60,False,2,16,0.01,0.0,2.629685163497925,0.10993126779794693
61,False,2,16,0.01,0.2,2.629693031311035,0.10993126779794693
62,False,2,16,0.01,0.4,2.629689931869507,0.10993126779794693
63,False,2,16,0.01,0.6,2.6296863555908203,0.10993126779794693
64,False,2,32,0.0,0.0,0.3040001392364502,0.7894501686096191
65,False,2,32,0.0,0.2,0.30382272601127625,0.7854295372962952
66,False,2,32,0.0,0.4,0.3037932515144348,0.7892783284187317
67,False,2,32,0.0,0.6,0.3041088879108429,0.7884535789489746
68,False,2,32,0.0001,0.0,0.3149693608283997,0.7917525768280029
69,False,2,32,0.0001,0.2,0.3294956684112549,0.7890034317970276
70,False,2,32,0.0001,0.4,0.3426492214202881,0.7892783284187317
71,False,2,32,0.0001,0.6,0.36874470114707947,0.7908934950828552
72,False,2,32,0.001,0.0,0.3462927937507629,0.7889347076416016
73,False,2,32,0.001,0.2,0.37427279353141785,0.7873196005821228
74,False,2,32,0.001,0.4,0.3961001634597778,0.7881443500518799
75,False,2,32,0.001,0.6,0.44158685207366943,0.7882130742073059
76,False,2,32,0.01,0.0,2.629688262939453,0.10993126779794693
77,False,2,32,0.01,0.2,2.629687786102295,0.10993126779794693
78,False,2,32,0.01,0.4,2.6296887397766118,0.10993126779794693
79,False,2,32,0.01,0.6,2.629689693450928,0.10993126779794693
80,False,2,64,0.0,0.0,0.3040403127670288,0.7873539328575134
81,False,2,64,0.0,0.2,0.3040394186973572,0.7883161306381226
82,False,2,64,0.0,0.4,0.3040439486503601,0.7880412340164185
83,False,2,64,0.0,0.6,0.3041599690914154,0.7889347076416016
84,False,2,64,0.0001,0.0,0.31795549392700195,0.79120272397995
85,False,2,64,0.0001,0.2,0.32714664936065674,0.789037823677063
86,False,2,64,0.0001,0.4,0.3337564766407013,0.7910996675491333
87,False,2,64,0.0001,0.6,0.3461891114711761,0.7882817983627319
88,False,2,64,0.001,0.0,0.3479610681533813,0.7886254191398621
89,False,2,64,0.001,0.2,0.3707157969474793,0.7868384718894958
90,False,2,64,0.001,0.4,0.3945601582527161,0.7886598110198975
91,False,2,64,0.001,0.6,0.426936537027359,0.7850515246391296
92,False,2,64,0.01,0.0,2.629690170288086,0.10993126779794693
93,False,2,64,0.01,0.2,2.6296908855438232,0.10993126779794693
94,False,2,64,0.01,0.4,2.629696846008301,0.10993126779794693
95,False,2,64,0.01,0.6,2.629689216613769,0.10993126779794693
96,True,1,16,0.0,0.0,0.3041817545890808,0.7886598110198975
97,True,1,16,0.0,0.2,0.3037868142127991,0.7902405261993408
98,True,1,16,0.0,0.4,0.3038055300712585,0.7885910868644714
99,True,1,16,0.0,0.6,0.3044949173927307,0.7884535789489746
100,True,1,16,0.0001,0.0,0.3101901113986969,0.7885566949844359
101,True,1,16,0.0001,0.2,0.3129822015762329,0.7896907329559326
102,True,1,16,0.0001,0.4,0.3167019784450531,0.7890721559524536
103,True,1,16,0.0001,0.6,0.3271712362766266,0.7892783284187317
104,True,1,16,0.001,0.0,0.3200332820415497,0.7883848547935486
105,True,1,16,0.001,0.2,0.3270861804485321,0.7889347076416016
106,True,1,16,0.001,0.4,0.3377768993377685,0.7881443500518799
107,True,1,16,0.001,0.6,0.3485454022884369,0.7878350615501404
108,True,1,16,0.01,0.0,0.3837986588478088,0.7854295372962952
109,True,1,16,0.01,0.2,0.4186286926269531,0.7904810905456543
110,True,1,16,0.01,0.4,0.546368420124054,0.7604123950004578
111,True,1,16,0.01,0.6,0.5523163080215454,0.7599312663078308
112,True,1,32,0.0,0.0,0.3042295277118683,0.7869071960449219
113,True,1,32,0.0,0.2,0.30393972992897034,0.7885910868644714
114,True,1,32,0.0,0.4,0.30420616269111633,0.7859449982643127
115,True,1,32,0.0,0.6,0.30412593483924866,0.7900343537330627
116,True,1,32,0.0001,0.0,0.3091152608394623,0.7881786823272705
117,True,1,32,0.0001,0.2,0.3121852278709412,0.7899312973022461
118,True,1,32,0.0001,0.4,0.3133167624473572,0.7898625135421753
119,True,1,32,0.0001,0.6,0.3172772228717804,0.7877319455146791
120,True,1,32,0.001,0.0,0.3254355490207672,0.7895532846450806
121,True,1,32,0.001,0.2,0.3291743099689484,0.7886598110198975
122,True,1,32,0.001,0.4,0.33038678765296936,0.7888659834861755
123,True,1,32,0.001,0.6,0.3379929661750793,0.7876632213592529
124,True,1,32,0.01,0.0,0.37956175208091736,0.7857388257980347
125,True,1,32,0.01,0.2,0.4489423632621765,0.7872508764266968
126,True,1,32,0.01,0.4,0.4753710627555847,0.7853952050209045
127,True,1,32,0.01,0.6,0.5302324891090393,0.7883161306381226
128,True,1,64,0.0,0.0,0.3043099343776703,0.7876976132392883
129,True,1,64,0.0,0.2,0.30400118231773376,0.7893814444541931
130,True,1,64,0.0,0.4,0.30410444736480713,0.7896563410758972
131,True,1,64,0.0,0.6,0.3037053346633911,0.7910309433937073
132,True,1,64,0.0001,0.0,0.3092808425426483,0.7893127202987671
133,True,1,64,0.0001,0.2,0.312240868806839,0.7893814444541931
134,True,1,64,0.0001,0.4,0.3124672472476959,0.7889347076416016
135,True,1,64,0.0001,0.6,0.3133477568626404,0.7896220088005066
136,True,1,64,0.001,0.0,0.3325554430484772,0.7886598110198975
137,True,1,64,0.001,0.2,0.3399925231933594,0.7904123663902283
138,True,1,64,0.001,0.4,0.3435568809509277,0.7892783284187317
139,True,1,64,0.001,0.6,0.3533770740032196,0.7897937893867493
140,True,1,64,0.01,0.0,0.3881530165672302,0.7865635752677917
141,True,1,64,0.01,0.2,0.4575097262859345,0.7875601649284363
142,True,1,64,0.01,0.4,0.4788254797458649,0.7875601649284363
143,True,1,64,0.01,0.6,0.494137316942215,0.7889690995216371
144,True,2,16,0.0,0.0,0.30468687415122986,0.7867697477340698
145,True,2,16,0.0,0.2,0.3037443161010742,0.787800669670105
146,True,2,16,0.0,0.4,0.30397555232048035,0.7853608131408691
147,True,2,16,0.0,0.6,0.3047102391719818,0.7860137224197388
148,True,2,16,0.0001,0.0,0.3068262934684753,0.7879725098609924
149,True,2,16,0.0001,0.2,0.31342869997024536,0.7882817983627319
150,True,2,16,0.0001,0.4,0.3204304575920105,0.7880756258964539
151,True,2,16,0.0001,0.6,0.3356325626373291,0.7861855626106262
152,True,2,16,0.001,0.0,0.3180322349071503,0.789037823677063
153,True,2,16,0.001,0.2,0.328285813331604,0.789037823677063
154,True,2,16,0.001,0.4,0.3345765471458435,0.7880756258964539
155,True,2,16,0.001,0.6,0.3561510145664215,0.7882130742073059
156,True,2,16,0.01,0.0,2.629688501358032,0.10993126779794693
157,True,2,16,0.01,0.2,2.62969183921814,0.10993126779794693
158,True,2,16,0.01,0.4,2.6296966075897217,0.10993126779794693
159,True,2,16,0.01,0.6,2.629688501358032,0.10993126779794693
160,True,2,32,0.0,0.0,0.30405542254447937,0.7867010235786438
161,True,2,32,0.0,0.2,0.3044047951698303,0.7885223627090454
162,True,2,32,0.0,0.4,0.3037838339805603,0.7882817983627319
163,True,2,32,0.0,0.6,0.3038761019706726,0.7877663373947144
164,True,2,32,0.0001,0.0,0.3105314075946808,0.7882817983627319
165,True,2,32,0.0001,0.2,0.31309059262275696,0.7898969054222107
166,True,2,32,0.0001,0.4,0.3160336911678314,0.7890721559524536
167,True,2,32,0.0001,0.6,0.3178835511207581,0.7901718020439148
168,True,2,32,0.001,0.0,0.3198455274105072,0.7905498147010803
169,True,2,32,0.001,0.2,0.3262656927108765,0.7892439961433411
170,True,2,32,0.001,0.4,0.3286254405975342,0.7875257730484009
171,True,2,32,0.001,0.6,0.3418038487434387,0.7903780341148376
172,True,2,32,0.01,0.0,2.6296892166137695,0.10993126779794693
173,True,2,32,0.01,0.2,2.629690408706665,0.10993126779794693
174,True,2,32,0.01,0.4,2.6296896934509277,0.10993126779794693
175,True,2,32,0.01,0.6,2.629699230194092,0.10993126779794693
176,True,2,64,0.0,0.0,0.30469033122062683,0.7880412340164185
177,True,2,64,0.0,0.2,0.30383214354515076,0.787731945514679
178,True,2,64,0.0,0.4,0.30376043915748596,0.7893814444541931
179,True,2,64,0.0,0.6,0.3046296238899231,0.7852577567100525
180,True,2,64,0.0001,0.0,0.30872538685798645,0.789106547832489
181,True,2,64,0.0001,0.2,0.31226298213005066,0.7887972593307495
182,True,2,64,0.0001,0.4,0.3136560618877411,0.78848797082901
183,True,2,64,0.0001,0.6,0.3168641924858093,0.7891408801078796
184,True,2,64,0.001,0.0,0.3188997209072113,0.789106547832489
185,True,2,64,0.001,0.2,0.327455997467041,0.7904467582702637
186,True,2,64,0.001,0.4,0.33111855387687683,0.7873883247375488
187,True,2,64,0.001,0.6,0.337754487991333,0.7869759202003479
188,True,2,64,0.01,0.0,2.629688024520874,0.10993126779794693
189,True,2,64,0.01,0.2,2.629690170288086,0.10993126779794693
190,True,2,64,0.01,0.4,2.6296963691711426,0.10993126779794693
191,True,2,64,0.01,0.6,2.629688262939453,0.10993126779794693
